word,coefficient,abs_coef
aim,0.19135794314759674,0.19135794314759674
tampa,0.19104791084867861,0.19104791084867861
lollapalooza,0.19087243361992323,0.19087243361992323
incit,0.19016700412187404,0.19016700412187404
visibl,0.1899726371095609,0.1899726371095609
past,0.18995149281469825,0.18995149281469825
properti,0.18982199656045232,0.18982199656045232
widespread,0.1897221201952654,0.1897221201952654
recruit,0.1897106320955717,0.1897106320955717
riyadh,0.1896662197197442,0.1896662197197442
smart,0.18929553181131614,0.18929553181131614
cnumnew,0.18888008728924857,0.18888008728924857
question,0.18848779460678874,0.18848779460678874
hole,0.1884539149255976,0.1884539149255976
pisgah,0.1883176536719745,0.1883176536719745
green,0.18772577791007472,0.18772577791007472
marker,0.1876206623593719,0.1876206623593719
troll,0.18703680144486784,0.18703680144486784
radar,0.18683123625395276,0.18683123625395276
indi,0.18662819003559833,0.18662819003559833
septemb,0.18632197913772813,0.18632197913772813
suru,0.18631036102562842,0.18631036102562842
whitehous,0.18628558195115297,0.18628558195115297
oppos,0.1861915265408384,0.1861915265408384
apocalypt,0.18608460590736844,0.18608460590736844
monsoon,0.18589008693281614,0.18589008693281614
fragil,0.18580178214383894,0.18580178214383894
pain,0.18569624019397096,0.18569624019397096
unrel,0.18568477359038996,0.18568477359038996
america,0.18553441755477448,0.18553441755477448
salem,0.18519913130149868,0.18519913130149868
construct,0.1850709438219208,0.1850709438219208
sustain,0.1850401332984104,0.1850401332984104
rippl,0.18488462079371762,0.18488462079371762
debt,0.1845831415328723,0.1845831415328723
recogn,0.18429833584136168,0.18429833584136168
legio,0.18418972143279302,0.18418972143279302
offend,0.18378426368210588,0.18378426368210588
pickerel,0.1833840951011391,0.1833840951011391
vicin,0.18337537135631532,0.18337537135631532
bout,0.18330009622598809,0.18330009622598809
declin,0.18293863646178238,0.18293863646178238
mission,0.18190225874155613,0.18190225874155613
hiroshimanum,0.18144897111016045,0.18144897111016045
asia,0.18138874211787223,0.18138874211787223
shipwreck,0.18090059591650592,0.18090059591650592
slower,0.1807888809144469,0.1807888809144469
persist,0.18038244535533668,0.18038244535533668
calumet,0.1802074163095087,0.1802074163095087
peak,0.17999739172201626,0.17999739172201626
endors,0.17992954203030131,0.17992954203030131
front,0.17990161291606305,0.17990161291606305
england,0.1798237340098908,0.1798237340098908
ovo,0.17918064915355747,0.17918064915355747
friggin,0.17901542463252107,0.17901542463252107
settl,0.17883355033514084,0.17883355033514084
spread,0.1787228986711539,0.1787228986711539
msf,0.17864899578670956,0.17864899578670956
specialist,0.17861984357896604,0.17861984357896604
childhood,0.1772372498813604,0.1772372498813604
john,0.17710367688975684,0.17710367688975684
dorman,0.1770832505365209,0.1770832505365209
democraci,0.1767706747168639,0.1767706747168639
believ,0.17675535683394009,0.17675535683394009
loss,0.1767035949942979,0.1767035949942979
muzzamil,0.17561463048917417,0.17561463048917417
offr,0.17561463048917417,0.17561463048917417
krefeld,0.17520464984097273,0.17520464984097273
shop,0.17505506765179618,0.17505506765179618
whao,0.17500398674377185,0.17500398674377185
maximum,0.1748481254675564,0.1748481254675564
oregon,0.1747621977537953,0.1747621977537953
magic,0.17460459159952382,0.17460459159952382
follow,0.1740296834914182,0.1740296834914182
bulletin,0.17369721572700458,0.17369721572700458
kany,0.17354602409036357,0.17354602409036357
reshap,0.17322379814165198,0.17322379814165198
rt,0.17299358068770826,0.17299358068770826
