threshold,f1_macro,mcc,precision_1,recall_1
0.61,0.7616770563285217,0.5527766101271173,0.8411949685534591,0.5806801736613604
0.62,0.7565462182097213,0.5481850593322966,0.8495092693565977,0.5636758321273516
0.63,0.7534491219079003,0.5483046557449114,0.8620102214650767,0.5492040520984081
0.64,0.7486690796181605,0.5464417684845552,0.875,0.5318379160636758
0.65,0.740780019726174,0.5373325236374911,0.879727216367018,0.5133863965267728
0.66,0.7348842258118427,0.5336946140940263,0.8909090909090909,0.4963820549927641
0.67,0.7276525042614153,0.5264916171555286,0.8971583220568335,0.479739507959479
0.6799999999999999,0.7187647631367249,0.5180363836281258,0.9052706552706553,0.4598408104196816
0.69,0.711412788995165,0.5100308094600281,0.9090909090909091,0.44500723589001445
0.7,0.7010885224126228,0.4981174922662959,0.9123351435221102,0.42547033285094066
0.71,0.693442807749735,0.4908436310707528,0.9182186234817814,0.41027496382054995
0.72,0.684426375791495,0.4808217057310625,0.9213197969543148,0.39399421128798845
0.73,0.6752784166072929,0.47215909139572504,0.9278717720391808,0.37698986975397974
0.74,0.6641271232419348,0.460903325269971,0.9338374291115312,0.35745296671490595
0.75,0.6539831562491967,0.4510554772973036,0.94,0.34008683068017365
0.76,0.6424766495439087,0.44021737508273057,0.9476495726495726,0.32091172214182345
0.77,0.6327871008932945,0.4301357021369229,0.9515765765765766,0.3057163531114327
0.78,0.6210820992621595,0.41857453336221806,0.9578313253012049,0.28762662807525324
0.79,0.6075570192051168,0.40231756376445316,0.9574193548387097,0.26845151953690305
0.8,0.5929595330159034,0.3862257184908365,0.9607293127629734,0.24782923299565845
0.8099999999999999,0.5774219539975657,0.36811293081274954,0.9616564417177914,0.22684515195369032
0.82,0.5625614913947143,0.3508984149206904,0.9630252100840336,0.2073082489146165
0.83,0.5490598094460618,0.33720760676900713,0.9703703703703703,0.18958031837916064
0.84,0.5369535280474983,0.32361832579163835,0.9737373737373738,0.17438494934876989
0.85,0.517881980037421,0.3037976299585821,0.9858156028368794,0.1508683068017366
0.86,0.5005858738889072,0.2811134724348753,0.9836956521739131,0.1309696092619392
0.87,0.4824363326478468,0.25641638575066794,0.9807692307692307,0.11070911722141824
0.88,0.46743646463914756,0.23505296716450622,0.9775280898876404,0.09442836468885674
0.89,0.45170090823335857,0.2113544397558068,0.9728506787330317,0.07778581765557163
0.9,0.4362506080165016,0.18627264305751945,0.9661016949152542,0.06186685962373372
